Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,ANNUAL TOTAL,Year
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,WDD2221591A470497,0.0,0,22,0,0,0,0,0,0,0,0,0,0,22,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,WDD2221591A470500,87.0,0,0,0,0,0,0,12,39,99,17,6,77,249,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,WDD2221591A470796,40.0,82,0,30,13,0,0,0,0,0,0,0,0,126,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,WDDUG8GB3JA405273,14.0,813,2280,4076,0,0,0,0,0,0,0,0,0,7169,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K6G7GBXMA000924,2.0,1083,0,0,0,3633,2777,2022,0,105,2697,0,0,12317,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K6G7GB3MA002465,1.0,0,0,0,17,0,0,1462,2545,2580,1341,452,0,8396,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K6G7GB1MA002478,2.0,0,0,0,0,0,0,827,1143,1243,286,3035,1205,7740,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K6G7GBXMA002480,0.0,0,2426,1744,1282,2749,0,0,0,0,0,0,0,8201,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K2231301A013981,0.0,0,0,0,0,0,0,0,0,0,201,1734,2466,4402,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K2231761A013993,0.0,0,0,0,0,0,0,0,0,0,0,1995,1093,3088,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K2231761A013986,0.0,0,0,0,0,0,0,0,0,0,1361,2825,1957,6143,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K2231761A039946,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K2231761A039969,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K2231761A039967,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,W1K6G7GB3NA054986,0.0,0,0,0,0,0,0,0,0,0,0,0,10,10,2021
"NISSAN NORTH AMERICA, INC DBA ALLIANCE INNOVATION LAB",AVT007,1N4BZ0CP6GC311826,10.0,0,0,0,0,10,27,40,79,17,4,0,0,177,2021
"NISSAN NORTH AMERICA, INC DBA ALLIANCE INNOVATION LAB",AVT007,1N4AZ1CP9KC308252,5.0,0,1,0,0,0,0,0,0,39,80,98,110,328,2021
"NISSAN NORTH AMERICA, INC DBA ALLIANCE INNOVATION LAB",AVT007,1N4BZ0CP6GC302978,2.0,0,0,0,0,0,0,0,0,0,0,3,0,3,2021
"NISSAN NORTH AMERICA, INC DBA ALLIANCE INNOVATION LAB",AVT007,JN1BV7AP1EM685949,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"NISSAN NORTH AMERICA, INC DBA ALLIANCE INNOVATION LAB",AVT007,JN1BV7AP3FM349849,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"NURO, INC",AVT028,JTDKN3DP3D3041696,4.0,343.64,430.98,426.61,451.53,567.92,438.76,569.12,125.51,0.00,240.28,583.01,"1,692.57","5,869.93",2021
"NURO, INC",AVT028,JTDKN3DP3C3011760,1.0,493.84,186.49,445.56,625.59,207.58,52.22,60.52,0.00,0.00,8.74,420.90,381.54,"2,882.98",2021
"NURO, INC",AVT028,JTDKN3DP4F3074838,0.0,102.55,100.43,354.15,32.67,128.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,718.23,2021
"NURO, INC",AVT028,JTDKN3DPXE3050185,1.0,152.83,1.60,24.29,106.17,128.31,249.56,562.05,50.13,0.00,0.62,490.23,657.65,"2,423.44",2021
"NURO, INC",AVT028,JTDKN3DP6D3042602,2.0,131.94,570.71,829.79,522.64,250.75,398.16,127.39,676.28,152.49,977.71,784.61,907.59,"6,330.06",2021
"NURO, INC",AVT028,JTDKN3DP3C3020295,0.0,0.00,15.02,148.50,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,163.53,2021
